,index,ts_code,symbol,name,area,industry,market,list_date
823,823,002375.SZ,002375,亚厦股份,浙江,装修装饰,中小板,20100323
824,824,002376.SZ,002376,新北洋,山东,IT设备,中小板,20100323
825,825,002377.SZ,002377,国创高新,湖北,房产服务,中小板,20100323
826,826,002378.SZ,002378,章源钨业,江西,小金属,中小板,20100331
827,827,002379.SZ,002379,宏创控股,山东,铝,中小板,20100331
828,828,002380.SZ,002380,科远智慧,江苏,电气设备,中小板,20100331
829,829,002381.SZ,002381,双箭股份,浙江,橡胶,中小板,20100402
830,830,002382.SZ,002382,蓝帆医疗,山东,医疗保健,中小板,20100402
831,831,002383.SZ,002383,合众思壮,北京,通信设备,中小板,20100402
832,832,002384.SZ,002384,东山精密,江苏,元器件,中小板,20100409
833,833,002385.SZ,002385,大北农,北京,饲料,中小板,20100409
834,834,002386.SZ,002386,天原股份,四川,化工原料,中小板,20100409
835,835,002387.SZ,002387,维信诺,广东,元器件,中小板,20100413
836,836,002388.SZ,002388,新亚制程,深圳,元器件,中小板,20100413
837,837,002389.SZ,002389,航天彩虹,浙江,元器件,中小板,20100413
838,838,002390.SZ,002390,信邦制药,贵州,中成药,中小板,20100416
839,839,002391.SZ,002391,长青股份,江苏,农药化肥,中小板,20100416
840,840,002392.SZ,002392,北京利尔,北京,其他建材,中小板,20100423
841,841,002393.SZ,002393,力生制药,天津,化学制药,中小板,20100423
842,842,002394.SZ,002394,联发股份,江苏,纺织,中小板,20100423
843,843,002395.SZ,002395,双象股份,江苏,塑料,中小板,20100429
844,844,002396.SZ,002396,星网锐捷,福建,通信设备,中小板,20100623
845,845,002397.SZ,002397,梦洁股份,湖南,纺织,中小板,20100429
846,846,002398.SZ,002398,垒知集团,福建,其他建材,中小板,20100506
847,847,002399.SZ,002399,海普瑞,深圳,化学制药,中小板,20100506
848,848,002400.SZ,002400,省广集团,广东,广告包装,中小板,20100506
849,849,002401.SZ,002401,中远海科,上海,软件服务,中小板,20100506
850,850,002402.SZ,002402,和而泰,深圳,元器件,中小板,20100511
851,851,002403.SZ,002403,爱仕达,浙江,家用电器,中小板,20100511
852,852,002404.SZ,002404,嘉欣丝绸,浙江,纺织,中小板,20100511
853,853,002405.SZ,002405,四维图新,北京,软件服务,中小板,20100518
854,854,002406.SZ,002406,远东传动,河南,汽车配件,中小板,20100518
855,855,002407.SZ,002407,多氟多,河南,化工原料,中小板,20100518
856,856,002408.SZ,002408,齐翔腾达,山东,化工原料,中小板,20100518
857,857,002409.SZ,002409,雅克科技,江苏,化工原料,中小板,20100525
858,858,002410.SZ,002410,广联达,北京,软件服务,中小板,20100525
859,859,002411.SZ,002411,延安必康,陕西,化学制药,中小板,20100525
860,860,002412.SZ,002412,汉森制药,湖南,中成药,中小板,20100525
861,861,002413.SZ,002413,雷科防务,江苏,通信设备,中小板,20100528
862,862,002414.SZ,002414,高德红外,湖北,电器仪表,中小板,20100716
863,863,002415.SZ,002415,海康威视,浙江,电器仪表,中小板,20100528
864,864,002416.SZ,002416,爱施德,深圳,电器连锁,中小板,20100528
865,865,002417.SZ,002417,深南股份,江苏,软件服务,中小板,20100601
866,866,002418.SZ,002418,*ST康盛,浙江,机械基件,中小板,20100601
867,867,002419.SZ,002419,天虹股份,深圳,百货,中小板,20100601
868,868,002420.SZ,002420,ST毅昌,广东,塑料,中小板,20100601
869,869,002421.SZ,002421,达实智能,深圳,软件服务,中小板,20100603
870,870,002422.SZ,002422,科伦药业,四川,化学制药,中小板,20100603
